date,term,value
2021-07-04,OECD,20
2021-07-11,OECD,19
2021-07-18,OECD,19
2021-07-25,OECD,18
2021-08-01,OECD,16
2021-08-08,OECD,17
2021-08-15,OECD,16
2021-08-22,OECD,16
2021-08-29,OECD,18
2021-09-05,OECD,19
2021-09-12,OECD,21
2021-09-19,OECD,21
2021-09-26,OECD,21
2021-10-03,OECD,25
2021-10-10,OECD,24
2021-10-17,OECD,24
2021-10-24,OECD,23
2021-10-31,OECD,21
2021-11-07,OECD,22
2021-11-14,OECD,21
2021-11-21,OECD,21
2021-11-28,OECD,24
2021-12-05,OECD,21
2021-12-12,OECD,20
2021-12-19,OECD,14
2021-12-26,OECD,11
2022-01-02,OECD,17
2022-01-09,OECD,21
2022-01-16,OECD,22
2022-01-23,OECD,23
2022-01-30,OECD,21
2022-02-06,OECD,21
2022-02-13,OECD,21
2022-02-20,OECD,23
2022-02-27,OECD,21
2022-03-06,OECD,24
2022-03-13,OECD,21
2022-03-20,OECD,22
2022-03-27,OECD,21
2017-05-28,IMF,25
2017-06-04,IMF,26
2017-06-11,IMF,24
2017-06-18,IMF,22
2017-06-25,IMF,23
2017-07-02,IMF,23
2017-07-09,IMF,22
2017-07-16,IMF,23
2017-07-23,IMF,28
2017-07-30,IMF,23
2017-08-06,IMF,21
2017-08-13,IMF,21
2017-08-20,IMF,21
2017-08-27,IMF,21
2017-09-03,IMF,24
2017-09-10,IMF,25
2017-09-17,IMF,25
2017-09-24,IMF,25
2017-10-01,IMF,28
2017-10-08,IMF,42
2017-10-15,IMF,33
2017-10-22,IMF,28
2017-10-29,IMF,28
2017-11-05,IMF,29
2017-11-12,IMF,27
2017-11-19,IMF,24
2017-11-26,IMF,28
2017-12-03,IMF,29
2017-12-10,IMF,28
2017-12-17,IMF,24
2017-12-24,IMF,20
2017-12-31,IMF,21
2018-01-07,IMF,27
2018-01-14,IMF,27
2018-01-21,IMF,30
2018-01-28,IMF,29
2018-02-04,IMF,28
2018-02-11,IMF,28
2018-02-18,IMF,31
2018-02-25,IMF,31
2018-03-04,IMF,28
2018-03-11,IMF,27
2018-03-18,IMF,28
2018-03-25,IMF,26
2018-04-01,IMF,26
2018-04-08,IMF,32
2018-04-15,IMF,38
2018-04-22,IMF,31
2018-04-29,IMF,29
2018-05-06,IMF,33
2018-05-13,IMF,29
2018-05-20,IMF,33
2018-05-27,IMF,29
2018-06-03,IMF,29
2018-06-10,IMF,26
2018-06-17,IMF,24
2018-06-24,IMF,22
2018-07-01,IMF,21
2018-07-08,IMF,22
2018-07-15,IMF,28
2018-07-22,IMF,34
2018-07-29,IMF,38
2018-08-05,IMF,32
2018-08-12,IMF,30
2018-08-19,IMF,27
2018-08-26,IMF,28
2018-09-02,IMF,30
2018-09-09,IMF,33
2018-09-16,IMF,33
2018-09-23,IMF,34
2018-09-30,IMF,49
2018-10-07,IMF,83
2018-10-14,IMF,55
2018-10-21,IMF,37
2018-10-28,IMF,33
2018-11-04,IMF,29
2018-11-11,IMF,33
2018-11-18,IMF,30
2018-11-25,IMF,33
2018-12-02,IMF,35
2018-12-09,IMF,33
2018-12-16,IMF,29
2018-12-23,IMF,22
2018-12-30,IMF,25
2019-01-06,IMF,35
2019-01-13,IMF,29
2019-01-20,IMF,34
2019-01-27,IMF,34
2019-02-03,IMF,32
2019-02-10,IMF,34
2019-02-17,IMF,31
2019-02-24,IMF,30
2019-03-03,IMF,30
2019-03-10,IMF,32
2019-03-17,IMF,30
2019-03-24,IMF,30
2019-03-31,IMF,32
2019-04-07,IMF,44
2019-04-14,IMF,38
2019-04-21,IMF,34
2019-04-28,IMF,30
2019-05-05,IMF,35
2019-05-12,IMF,40
2019-05-19,IMF,32
2019-05-26,IMF,28
2019-06-02,IMF,25
2019-06-09,IMF,28
2019-06-16,IMF,25
2019-06-23,IMF,29
2019-06-30,IMF,35
2019-07-07,IMF,28
2019-07-14,IMF,29
2019-07-21,IMF,29
2019-07-28,IMF,28
2019-08-04,IMF,32
2019-08-11,IMF,26
2019-08-18,IMF,28
2019-08-25,IMF,29
2019-09-01,IMF,27
2019-09-08,IMF,30
2019-09-15,IMF,31
2019-09-22,IMF,44
2019-09-29,IMF,33
2019-10-06,IMF,37
2019-10-13,IMF,43
2019-10-20,IMF,35
2019-10-27,IMF,31
2019-11-03,IMF,33
2019-11-10,IMF,31
2019-11-17,IMF,32
2019-11-24,IMF,31
2019-12-01,IMF,30
2019-12-08,IMF,32
2019-12-15,IMF,29
2019-12-22,IMF,24
2019-12-29,IMF,22
2020-01-05,IMF,29
2020-01-12,IMF,28
2020-01-19,IMF,40
2020-01-26,IMF,31
2020-02-02,IMF,30
2020-02-09,IMF,32
2020-02-16,IMF,33
2020-02-23,IMF,31
2020-03-01,IMF,33
2020-03-08,IMF,35
2020-03-15,IMF,33
2020-03-22,IMF,39
2020-03-29,IMF,43
2020-04-05,IMF,50
2020-04-12,IMF,88
2020-04-19,IMF,47
2020-04-26,IMF,38
2020-05-03,IMF,37
2020-05-10,IMF,35
2020-05-17,IMF,30
2020-05-24,IMF,27
2020-05-31,IMF,29
2020-06-07,IMF,29
2020-06-14,IMF,24
2020-06-21,IMF,38
2020-06-28,IMF,26
2020-07-05,IMF,24
2020-07-12,IMF,24
2020-07-19,IMF,23
2020-07-26,IMF,28
2020-08-02,IMF,22
2020-08-09,IMF,23
2020-08-16,IMF,24
2020-08-23,IMF,24
2020-08-30,IMF,24
2020-09-06,IMF,25
2020-09-13,IMF,25
2020-09-20,IMF,28
2020-09-27,IMF,26
2020-10-04,IMF,28
2020-10-11,IMF,39
